Unnamed: 0,title,date,stock,sentiment
1331892.0,VIVUS Option Alert: Jul 17 $2 Calls Sweep (11) near the Ask: 1500 @ $0.221 vs 199 OI; Earnings 8/4 After Close [est] Ref=$1.13,2020-06-08 12:33:00-04:00,VVUS,positive
1331893.0,VIVUS Announces Updated Agreement with Icahn Enterprises Holdings L.P.,2020-06-02 07:34:00-04:00,VVUS,positive
1331894.0,"Vivus Shares Ticking Higher After Report That Australian Government Granted Patent For ""Methods of preventing progression to type 2 diabetes mellitus""",2020-05-27 12:44:00-04:00,VVUS,positive
1331895.0,"VIVUS Q1 EPS $(0.490) Beats $(0.800) Estimate, Sales $19.631M Beat $17.700M Estimate",2020-05-06 16:37:00-04:00,VVUS,neutral
1331896.0,"The Daily Biotech Pulse: FDA Nod For AstraZeneca, AbbVie-Allergan Deal Clears Antitrust Hurdle",2020-05-06 08:42:00-04:00,VVUS,positive
1331897.0,Shares of several healthcare companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01 09:30:00-04:00,VVUS,negative
1331898.0,"Vivus Says on April 29, Entered Into Agreement With Trustee and Holder of About $170M of Co's Outstanding 4.50% Convertible Senior Notes Due May 1, 2020;  Noteholder Agreed to Grant to Co Grace Period With Respect to Payment of Principal Amount of Convertible Notes Payable to Noteholder on May 1",2020-05-01 08:39:00-04:00,VVUS,positive
1331899.0,VIVUS Reports Deal With IEH Biopharma To Grant 30-Day Grace Period To Restructure Corporate Debt,2020-05-01 08:35:00-04:00,VVUS,positive
1331900.0,VitalTech Partners With VIVUS Pharmaceuticals To Accelerate Launch Of Telehealth And Remote Patient Monitoring Module,2020-04-03 08:01:00-04:00,VVUS,neutral
1331901.0,72 Biggest Movers From Yesterday,2020-04-02 04:23:00-04:00,VVUS,neutral
1331902.0,Mid-Afternoon Market Update: Dow Tumbles 800 Points; Chembio Diagnostics Shares Spike Higher,2020-04-01 14:31:00-04:00,VVUS,positive
1331903.0,Why Vivus Is Trading Lower Today,2020-04-01 13:18:00-04:00,VVUS,negative
1331904.0,54 Stocks Moving In Wednesday's Mid-Day Session,2020-04-01 12:30:00-04:00,VVUS,neutral
1331905.0,Mid-Day Market Update: ProPetro Slides After Q4 Results; InflaRx Shares Jump,2020-04-01 12:11:00-04:00,VVUS,positive
1331906.0,Vivus shares are trading lower after the company priced its ~7.22 Million share common stock offering at $1.60 per share.,2020-04-01 10:45:00-04:00,VVUS,positive
1331907.0,Mid-Morning Market Update: Markets Open Lower; UniFirstTops Q2 Estimates,2020-04-01 10:26:00-04:00,VVUS,negative
1331908.0,VIVUS 13G Filing From Sabby Mgmt. Shows 9.97% Stake,2020-04-01 09:33:00-04:00,VVUS,neutral
