Unnamed: 0,title,date,stock,sentiment
763258.0,Recap: Lakeland Financial Q1 Earnings,2020-04-27 08:20:00-04:00,LKFN,neutral
763259.0,"Lakeland Financial Q1 EPS $0.670 Beats $0.590 Estimate, Sales $49.631M Beat $48.170M Estimate",2020-04-27 08:09:00-04:00,LKFN,neutral
763260.0,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,LKFN,negative
763261.0,Stocks That Hit 52-Week Lows On Friday,2020-03-06 11:22:00-05:00,LKFN,negative
763262.0,Stocks That Hit 52-Week Lows On Friday,2020-02-28 10:16:00-05:00,LKFN,negative
763263.0,Lakeland Financial Q4 EPS $0.86 Beats $0.77 Estimate,2020-01-27 08:04:00-05:00,LKFN,neutral
763264.0,Stocks That Hit 52-Week Highs On Monday,2019-12-23 10:20:00-05:00,LKFN,neutral
763265.0,Stocks That Hit 52-Week Highs On Friday,2019-12-20 11:59:00-05:00,LKFN,neutral
763266.0,Stocks That Hit 52-Week Highs On Wednesday,2019-12-18 10:43:00-05:00,LKFN,neutral
763267.0,Stocks That Hit 52-Week Highs On Tuesday,2019-12-17 11:19:00-05:00,LKFN,neutral
763268.0,Lakeland Financial Q3 EPS $0.83 Beats $0.76 Estimate,2019-10-25 08:03:00-04:00,LKFN,neutral
763269.0,"Lakeland Financial Q2 EPS $0.85 Beats $0.81 Estimate, Sales $49.999M Miss $50.17M Estimate",2019-07-25 08:08:00-04:00,LKFN,negative
763270.0,Lakeland Financial Q1 EPS $0.83 Beats $0.8 Estimate,2019-04-25 09:07:00-04:00,LKFN,neutral
763271.0,Lakeland Financial Corporation Raises Quarterly Dividend From $0.26 To $0.30/Share,2019-04-09 16:00:00-04:00,LKFN,neutral
763272.0,Lakeland Financial Q4 EPS $0.83 Beats $0.79 Estimate,2019-01-25 08:01:00-05:00,LKFN,neutral
763273.0,"Earnings Scheduled For January 25, 2019",2019-01-25 04:07:00-05:00,LKFN,neutral
763274.0,"Stocks Trading Ex Dividend For Thurs., Jan. 24, 2019",2019-01-24 10:04:00-05:00,LKFN,neutral
763275.0,"Lakeland Financial Q3 EPS $0.80 Beats $0.78 Estimate, Sales $48.358M Miss $49.21M Estimate",2018-10-25 08:24:00-04:00,LKFN,negative
763276.0,"Stocks Which Set New 52-Week Low Yesterday, October 23rd",2018-10-24 10:06:00-04:00,LKFN,negative
763277.0,"Stocks Trading Ex Dividend For Wed., Oct. 24, 2018",2018-10-24 08:45:00-04:00,LKFN,neutral
763278.0,"Stocks Which Set New 52-Week Low Yesterday, October 22nd",2018-10-23 09:54:00-04:00,LKFN,negative
763279.0,Lakeland Financial Q2 EPS $0.78 Beats $0.75 Estimate,2018-07-25 08:03:00-04:00,LKFN,neutral
